0,0
0.01,0.00037607
0.02,0.0014769
0.03,0.0032626
0.04,0.0056949
0.05,0.0087373
0.06,0.012355
0.07,0.016513
0.08,0.021181
0.09,0.026326
0.1,0.031921
0.11,0.037935
0.12,0.044342
0.13,0.051117
0.14,0.058234
0.15,0.06567
0.16,0.073401
0.17,0.081407
0.18,0.089666
0.19,0.098159
0.2,0.10687
0.21,0.11577
0.22,0.12485
0.23,0.1341
0.24,0.14349
0.25,0.15302
0.26,0.16267
0.27,0.17242
0.28,0.18226
0.29,0.19218
0.3,0.20217
0.31,0.21221
0.32,0.2223
0.33,0.23243
0.34,0.24258
0.35,0.25275
0.36,0.26293
0.37,0.27312
0.38,0.28329
0.39,0.29345
0.4,0.30359
0.41,0.31371
0.42,0.32379
0.43,0.33383
0.44,0.34383
0.45,0.35377
0.46,0.36367
0.47,0.3735
0.48,0.38327
0.49,0.39298
0.5,0.40262
