lamT,lamB0.005omega0,lamB0.01omega0,lamB0.005omega60,lamB0.01omega60,lamB0.005omega0int,lamB0.01omega0int,lamB0.005omega60int,lamB0.01omega60int
0.5,0.0087415566086421,0.0175917844641327,0.0103469408276323,0.0207361479705696,0.000174466559364635,0.000340701519887416,0.00018656185492593,0.000363805743546094
1,0.00317906089638918,0.00650133466602396,0.0045122164802545,0.00917048369043171,0.000111130736721025,0.000218640683194586,0.000130539159481613,0.000256079026157854
2,0.000299342364334294,0.00062658916797196,0.000711874828935101,0.00147022684559664,3.53184670699924e-05,6.93103670566808e-05,5.42208094709977e-05,0.000106072452064112
3,1.92865611299784e-05,4.35997386539053e-05,7.32639629439008e-05,0.000156873731497685,7.9325823242871e-06,1.60244074844766e-05,1.64888662661691e-05,3.25982174462453e-05
4,9.86104028399443e-07,2.1913111591295e-06,6.39289180429079e-06,1.46580264444101e-05,1.30016076398904e-06,2.32766673006444e-06,3.78726748655075e-06,7.32093058866944e-06
5,1.90552039923857e-08,9.52745794104028e-08,4.71609353295262e-07,1.47674954982765e-06,2.28701098061058e-08,8.85698237023534e-08,2.46063628838935e-07,8.21930818069799e-07
