lamT,lamB0.01lamD0omega0,lamB0.01lamD0omega60,lamB0.01lamD1omega0,lamB0.01lamD1omega60,lamB0.1lamD0omega0,lamB0.1lamD0omega60,lamB0.1lamD1omega0,lamB0.1lamD1omega60
0.5,0.000422784487168453,0.000661811371354065,0.000703049602699785,0.000988028133120733,0.00593930807610798,0.00856036950019163,0.00884706763853129,0.0117319352868192
1,1.75354653582197e-06,4.93231537991049e-06,5.8785237090907e-06,1.3194635645455e-05,5.72761927561122e-05,0.000130953408127064,0.000145472930891381,0.00028116082089457
2,1.52953084373813e-11,1.38985817360942e-10,2.08518324174778e-10,1.19760060660155e-09,3.67969517648045e-09,2.01925936608034e-08,2.54667068678246e-08,1.00855086539353e-07
3,1.01408328679131e-16,2.96735201447069e-15,5.59816321149762e-15,8.21018360768822e-14,2.24275502014771e-13,2.89665552543933e-12,4.11333302349795e-12,3.26902115373097e-11
4,6.05368640773794e-22,5.68716055843243e-20,1.34786212675036e-19,5.0376259732264e-18,1.36295121224262e-17,4.13196961757961e-16,6.59704558774119e-16,1.04752044397859e-14
5,3.42945075815045e-27,1.03156998239632e-24,3.0684994249642e-24,2.91722282123242e-22,8.28144248896228e-22,5.89140413948809e-20,1.05736124266199e-19,3.35203882584074e-18
