Radius,lamB0.1lamD1omega60,lamB0.1lamD1omega60,lamB0.1lamD1omega60,lamB0.1lamD1omega60,lamB0.1lamD1omega60,lamB0.1lamD1omega60
100,0.167682356995876,0.107744949578395,0.056422188091476,0.012185983308694,0.0021731365112004,0.000352117669126782
200,0.21905548767211,0.0356440956992209,0.00211886417222153,5.14964421655751e-06,1.17652495700483e-08,2.67698791900856e-11
500,0.10640819952818,2.35418017435676e-05,5.54239408404994e-10,3.07181321829118e-19,1.70251994083634e-28,9.43603644806843e-38
1000,0.0153297477928259,8.49017658898611e-10,7.20830985121678e-19,5.19597309111488e-37,3.74541840193412e-55,2.699813636359e-73
