lamT,lamB0.005omega0,lamB0.01omega0,lamB0.005omega60,lamB0.01omega60
0.5,0.326287362563126,0.326287362563126,0.351598148231013,0.351598148231013
1,0.207907779945689,0.207907779945689,0.241190958221691,0.241190958221691
2,0.0982785817783968,0.0982785817783968,0.122154833899898,0.122154833899898
3,0.0605256621090815,0.0605256621090815,0.0750808588446737,0.0750808588446737
4,0.0436463191594306,0.0436463191594306,0.0535968083860405,0.0535968083860405
5,0.0341841540214651,0.0341841540214651,0.0417169267842064,0.0417169267842064
