Radius,lamB0.01lamD1omega60,lamB0.1lamD1omega60,lamB0.01lamD1omega60,lamB0.1lamD1omega60
100,3.46674050984522e-06,3.47776270533658e-06,0,0
200,0,0,1.48077993951904e-22,1.50629868484895e-22
