lamT,lamB0.01lamD0omega0,lamB0.01lamD0omega60,lamB0.01lamD1omega0,lamB0.01lamD1omega60,lamB0.1lamD0omega0,lamB0.1lamD0omega60,lamB0.1lamD1omega0,lamB0.1lamD1omega60
0.5,0.000419839308290448,0.000629203988799496,0.00067579267819157,0.000901928330518771,0.00528496844940358,0.00705127951294208,0.00741403177824675,0.00904923358099988
1,1.74009917876195e-06,4.66892340071325e-06,5.63233706259237e-06,1.1968120045233e-05,4.75207384346772e-05,9.72991953499216e-05,0.000111366276644761,0.00019289284930837
2,1.51546143028865e-11,1.30334067732546e-10,1.98399221836503e-10,1.07159894669764e-09,2.58937520627645e-09,1.17287707668329e-08,1.56977267417084e-08,5.21675776587474e-08
3,1.0030430582537e-16,2.75420416308315e-15,5.28620791334004e-15,7.23927534979851e-14,1.32648237813111e-13,1.29065938307194e-12,2.00482748829556e-12,1.23759556149726e-11
4,5.97667982496438e-22,5.22037784957068e-20,1.26237604451244e-19,4.3725852650957e-18,6.76774280744344e-18,1.40733226496385e-16,2.53292369228766e-16,2.87841961612607e-15
5,3.37909499811477e-27,9.35733879867477e-25,2.84887788564024e-24,2.49014190524393e-22,3.45196184140164e-22,1.53306369495095e-20,3.19610267099644e-20,6.67286264292442e-19
