lamT,lamB0.01omega0,lamB0.1omega0,lamB0.2omega0,lamB0.01omega60,lamB0.1omega60,lamB0.2omega60,lamB0.01omega0int,lamB0.1omega0int,lamB0.2omega0int,lamB0.01omega60int,lamB0.1omega60int,lamB0.2omega60int
0.5,0.00743261994047619,0.0815081602380953,0.171150451428571,0.008610479175,0.0913386453625,0.18526529875,0.00218596155934413,0.0179347366907319,0.0298111551298702,0.0023426106846634,0.0192297464757428,0.0316152484665272
1,0.0035515547168421,0.0463034264947368,0.107734164326316,0.0062744147,0.0678855000543478,0.147090716728261,0.00162317592020289,0.0140494817837027,0.02430505414256,0.00210152438390807,0.0168733077605069,0.0289142278156185
2,0.000430360299,0.005718384159,0.017979301973,0.000950333545454545,0.0108283622476768,0.0289634355252525,0.000565174904000674,0.00474378714762946,0.00949887439976292,0.000918858349267416,0.0077218777174818,0.0145703047516582
3,0,9.2889552e-05,0.001188714459,9.7806e-07,0.0004766197284,0.0042204057052,0,9.30243638298652e-05,0.000713540352481535,1.56835410549138e-06,0.000346874575979946,0.00204267262434887
4,0,3.3613451e-05,0.000422941473,2.0556e-07,0.000310234319,0.00188530748,0,3.38911845428522e-05,0.000399940152394214,4.028976e-07,0.000333915348156442,0.00167653000938135
5,1.6944e-08,7.00304e-06,7.60264824e-05,0,1.011034e-05,0.0001768070975,3.32102399999999e-08,1.33994461071305e-05,9.98329646129919e-05,0,9.94651179606138e-06,0.00014516996558238
