lamT,lamD0.0001omega0,lamD0.0001omega60,lamD10omega0,lamD10omega60
0.5,0.792117381457166,0.729905868013062,0.471484041390739,0.412219616560581
0.51,0.79854662749957,0.736885094356093,0.478181745742231,0.418433489662371
0.52,0.804777034384743,0.74368397764617,0.484794572347178,0.424581671189531
0.53,0.810814751668978,0.750307177943758,0.491323596832613,0.430664855617616
0.54,0.816665738719455,0.756759234893462,0.497769881194509,0.436683730080354
0.55,0.822335770596276,0.763044570835572,0.504134473970526,0.442638974447259
0.56,0.827830443752585,0.769167493837203,0.510418410410557,0.448531261400427
0.57,0.833155181558396,0.775132200645114,0.516622712645124,0.454361256510523
0.58,0.838315239653586,0.780942779562218,0.522748389851634,0.460129618311957
0.59,0.843315711135332,0.786603213249775,0.528796438418528,0.465836998377271
0.6,0.848161531585118,0.792117381457166,0.534767842107354,0.471484041390739
0.61,0.852857483940268,0.797489063681134,0.540663572212782,0.477071385221188
0.62,0.857408203214815,0.802721941756311,0.546484587720592,0.482599660994048
0.63,0.861818181074371,0.807819602378804,0.55223183546366,0.488069493162643
0.64,0.8660917702695,0.812785539564573,0.55790625027597,0.493481499578727
0.65,0.870233188931987,0.817623157044284,0.563508755144671,0.498836291562273
0.66,0.874246524738234,0.822335770596276,0.569040261360204,0.504134473970526
0.67,0.878135738943887,0.826926610319253,0.574501668664539,0.509376645266325
0.68,0.881904670293691,0.831398822846239,0.579893865397514,0.514563397585704
0.69,0.885557038810418,0.835755473501332,0.585217728641341,0.519695316804776
0.7,0.889096449466617,0.839999548400721,0.590474124363262,0.524772982605916
0.71,0.892526395742805,0.844133956499422,0.59566390755641,0.52979696854323
0.72,0.895850263075614,0.848161531585118,0.600787922378878,0.534767842107354
0.73,0.899071332199296,0.85208503422048,0.605847002291029,0.539686164789545
0.74,0.902192782383882,0.855907153635302,0.610841970191063,0.544552492145111
0.75,0.905217694573197,0.859630509569741,0.615773638548871,0.549367373856162
0.76,0.908149054425822,0.863257654069926,0.620642809538184,0.554131353793701
0.77,0.910989755262011,0.866791073237171,0.625450275167059,0.558844970079057
0.78,0.913742600919462,0.870233188931987,0.630196817406702,0.563508755144671
0.79,0.91641030852077,0.873586360434064,0.634883208318659,0.568123235794233
0.8,0.918995511155293,0.876852886059359,0.639510210180404,0.572688933262194
0.81,0.921500760478071,0.880035004735392,0.644078575609324,0.577206363272638
0.82,0.923928529228367,0.88313489753585,0.648589047685141,0.581676036097538
0.83,0.926281213670321,0.886154689175523,0.653042360070778,0.586098456614394
0.84,0.928561135958116,0.889096449466617,0.657439237131695,0.590474124363262
0.85,0.930770546427998,0.891962194737438,0.661780394053713,0.594803533603182
