lamT,lamB0.005omega0,lamB0.01omega0,lamB0.005omega60,lamB0.01omega60,lamB0.005omega0int,lamB0.01omega0int,lamB0.005omega60int,lamB0.01omega60int
0.5,0.00434059244136447,0.00870762218253746,0.00515192525695511,0.0102985528562132,8.92276854526439e-05,0.000175887873461164,9.566027091786e-05,0.000187929228541652
1,0.00154782862597371,0.00313606893108213,0.00220775950450771,0.00445997127426425,5.63289765294432e-05,0.000111721276303587,6.6419196666022e-05,0.000131405465310283
2,0.000140754286761351,0.000287059501637742,0.000337302673924315,0.000684289310148673,1.78561988853515e-05,3.51463436453408e-05,2.73159786097942e-05,5.37571798416654e-05
3,8.52162724863641e-06,1.84696847383966e-05,3.34845478827586e-05,6.93864542438497e-05,3.92059298266987e-06,8.05222331467207e-06,8.28328731975713e-06,1.6452846937867e-05
4,3.94309373874569e-07,8.68203814786233e-07,2.49513330606575e-06,5.49396774347893e-06,6.44197851826439e-07,1.3005412674094e-06,1.84834454702612e-06,3.62734051917047e-06
5,3.04024283582857e-09,1.49701022791583e-08,9.64738159180944e-08,3.64951634511499e-07,3.9333514980614e-09,1.53285364233394e-08,5.87549622801133e-08,2.20632916274683e-07
