lamT,lamB0.005omega0,lamB0.01omega0,lamB0.005omega60,lamB0.01omega60
0.5,0.00484043486385174,0.00964195261452257,0.00567884833899859,0.0112951274943627
1,0.00168147087526786,0.00337978337158917,0.00243380142216324,0.00487724378396068
2,0.000141899040091938,0.000290483730388115,0.000336062869067841,0.000683753744286336
3,9.3535358238186e-06,1.95074692214275e-05,3.71604693897452e-05,7.67798835595089e-05
4,5.49049080386742e-07,1.16696743843735e-06,3.6695705093946e-06,7.70132876676508e-06
5,3.0220259366807e-08,6.54798361107717e-08,3.39859207413448e-07,7.2465380845681e-07
