lamT,lamD0omega0,lamD0omega60,lamD1omega0,lamD1omega60
0.5,0.792135511505672,0.759033470692048,0.770727600575696,0.738523326203041
0.51,0.798564548205881,0.765795164800026,0.777382751030408,0.745445012395999
0.52,0.804794741355698,0.772367120908534,0.78384472067624,0.752183471002885
0.53,0.810832240983406,0.778754663202292,0.79011911702352,0.758743552337245
0.54,0.816683006903181,0.784962966465567,0.796211384811896,0.765129978317431
0.55,0.822352814598225,0.790997060274457,0.80212681073512,0.771347345865415
0.56,0.827847260921932,0.796861833071537,0.80787052802869,0.777400130215637
0.57,0.833171769622727,0.80256203612617,0.813447520924321,0.783292688136261
0.58,0.838331596698028,0.808102287383683,0.818862628975119,0.789029261065153
0.59,0.843331835582607,0.813487075206534,0.824120551255204,0.794613978162852
0.6,0.848177422176497,0.818720762010504,0.829225850437433,0.800050859284725
0.61,0.852873139717372,0.823807587798851,0.834182956752751,0.805343817874436
0.62,0.857423623502241,0.828751673597292,0.838996171834623,0.810496663780831
0.63,0.861833365463105,0.833557024792595,0.843669672451862,0.815513106000247
0.64,0.866106718601086,0.838227534377501,0.84820751413311,0.820396755346236
0.65,0.870247901283421,0.842766986104569,0.85261363468611,0.825151127048607
0.66,0.874261001407548,0.847179057551544,0.856891857614818,0.829779643283679
0.67,0.878149980436404,0.851467323100693,0.861045895437336,0.834285635637546
0.68,0.88191867730892,0.855635256834546,0.865079352907517,0.838672347504139
0.69,0.885570812229556,0.85968623535038,0.868995730143077,0.842942936419807
0.7,0.889109990340642,0.863623540495722,0.87279842566289,0.847100476336096
0.71,0.892539705281134,0.867450362027099,0.876490739336125,0.851147959832372
0.72,0.895863342635293,0.871169800194176,0.880075875245778,0.85508830026986
0.73,0.899084183274713,0.87478486825138,0.883556944469083,0.858924333888671
0.74,0.902205406596975,0.878298494899055,0.886936967777211,0.86265882184932
0.75,0.905230093664132,0.881713526656107,0.890218878256615,0.866294452220189
0.76,0.908161230244132,0.885032730166071,0.89340552385427,0.869833841912395
0.77,0.911001709758163,0.888258794438478,0.896499669849045,0.873279538563428
