lamT,lamB0.01omega0,lamB0.1omega0,lamB0.2omega0,lamB0.01omega60,lamB0.1omega60,lamB0.2omega60
0.5,0.0142959331920757,0.149526038867752,0.297001132076881,0.0150308329441092,0.150602285317502,0.289025501941747
1,0.00676016722120183,0.0883888625872474,0.217381776163737,0.00884257034767778,0.108704407016531,0.251407561478615
2,0.000647066988979267,0.0145523627866704,0.0576074564287592,0.00135299272238258,0.0272436326462868,0.0935462010299138
3,1.76390317501968e-05,0.00159522015743899,0.010927143308843,0.000138342305169247,0.00481275811991598,0.0246788630110206
4,7.1066517974285e-07,0.000208569782209391,0.00217943814746787,2.39073852007347e-05,0.00106499286538964,0.00734946387299923
5,3.46214904224613e-07,2.8809249540803e-05,0.000364388640776697,8.23638677512464e-06,0.000202903622408815,0.00170896313172397
