lamT,lamB0.01lamD0omega0,lamB0.01lamD0omega60,lamB0.01lamD1omega0,lamB0.01lamD1omega60,lamB0.1lamD0omega0,lamB0.1lamD0omega60,lamB0.1lamD1omega0,lamB0.1lamD1omega60
0.5,0.00139534981775233,0.0031726946656952,0.031390686207017,0.0531433877443265,0.0515278233328563,0.0886720981407486,0.208400052979199,0.29116288500518
1,6.89251102437638e-06,4.24667272127824e-05,0.000928486633080763,0.00314715346304036,0.00135436621376939,0.00477977499275723,0.0195134516408097,0.0450459640907452
2,8.44024870220315e-11,3.84465670447e-09,4.10382832310152e-07,5.65643571254059e-06,4.69584523492744e-07,7.01804478206334e-06,8.6431186616074e-05,0.000552564775596365
3,7.75167928695745e-16,2.61059741408385e-13,1.36042850350096e-10,7.62600063118763e-09,1.22110839447982e-10,7.72855637896886e-09,2.87130854875636e-07,5.08439816200645e-06
4,6.32825288960874e-21,1.57568615070668e-17,4.00875706785146e-14,9.13899219292242e-12,2.82255319848643e-14,7.56533391730864e-12,8.47884566874013e-10,4.15856407812948e-08
5,4.84331964795464e-26,8.91601537305649e-22,1.10742680438282e-17,1.02676499053091e-14,6.11647678630105e-18,6.94271120236256e-15,2.34727986343931e-12,3.18873566268424e-10
