lamT,lamB0.005omega0,lamB0.01omega0,lamB0.005omega60,lamB0.01omega60
0.5,0.0097696045974291,0.0196338943870823,0.011444406660032,0.0229315788268948
1,0.00342477842118841,0.00700639586637754,0.00494211414690306,0.0100507249606489
2,0.000294298039473598,0.000623900051414998,0.000692806924851032,0.00145139198121707
3,1.97515037718616e-05,4.33903624344111e-05,7.77684359544119e-05,0.000167827740178145
4,1.18033051740787e-06,2.68696622195783e-06,7.79532684814617e-06,1.73293628044339e-05
5,6.61318188414695e-08,1.56003555894231e-07,7.32793311683573e-07,1.67809925400893e-06
