lamT,lamB0.01omega0,lamB0.1omega0,lamB0.2omega0,lamB0.01omega60,lamB0.1omega60,lamB0.2omega60,lamB0.01omega90,lamB0.1omega90,lamB0.2omega90,lamB0.01omega0int,lamB0.1omega0int,lamB0.2omega0int,lamB0.01omega60int,lamB0.1omega60int,lamB0.2omega60int,lamB0.01omega90int,lamB0.1omega90int,lamB0.2omega90int
0.5,0.00896235716706078,0.0923617440086069,0.186847448774328,0.0103128584441883,0.104005947203174,0.206183099544713,0.0112856161230044,0.112340520682763,0.219536834285169,0.000284498626853003,0.00233216348856675,0.00382525577616382,0.00030428197648731,0.0024783757241742,0.00402621898922561,0.000314502780567407,0.00255853996552531,0.00412703373055386
1,0.00342185704965874,0.0398113613810373,0.0911255650409048,0.0046687397267604,0.0523315735962264,0.115627015121588,0.00556890764489127,0.0613414099454368,0.132416829216974,0.000188113815405034,0.00163699627820916,0.00286822201218602,0.00021603557641647,0.0018410062619133,0.00316202555320487,0.000233462511263718,0.00196778389881462,0.00333475602479403
2,0.000295405051290111,0.00471751497821343,0.01510271618113,0.000622496975458938,0.00940634579782598,0.0274331737804027,0.00101671251566133,0.0140632000752116,0.0383003493946233,5.46166064200269e-05,0.000518234207008402,0.00103918303317633,8.0188495441137e-05,0.000751136353789432,0.00145851922463829,0.000103295821211778,0.000935406735619293,0.00177252580157742
3,5.31508906573941e-06,0.000334828054752921,0.00189094365854442,5.67563979028872e-05,0.00131221359947021,0.00522591424678243,0.000132348838689682,0.00239477208391048,0.00869395628625175,2.8203126296867e-06,6.99396780993965e-05,0.000226264133841588,2.31424896587203e-05,0.000247171634232589,0.000524735319146656,3.57699828803611e-05,0.00034739837684414,0.000724099691276971
4,9.36343479401732e-08,3.36491128312779e-05,0.000290169029063762,1.01693680254526e-05,0.000244810161151798,0.00127201409803241,3.34604423681448e-05,0.000601777337766073,0.00255351853100025,1.49661021309871e-07,1.83883234788265e-05,6.7852138829872e-05,1.14791889095428e-05,0.000103393878712933,0.000221628020289959,2.03666461400147e-05,0.000185524160010507,0.000381811604957736
5,7.37187614799265e-08,5.27643690724219e-06,4.34711297967726e-05,4.09595880346366e-06,5.3482659465757e-05,0.000268112115048413,6.72433361847284e-06,0.000108204670238651,0.00055092555283377,1.27275100879586e-07,6.06140468936846e-06,2.19019823829823e-05,7.70389310434056e-06,6.2499991877956e-05,0.00012125454282001,9.36948474094801e-06,8.03843877118065e-05,0.000164647889223826
