0.03375,0,0,0,0,0,0,0.33917,0,0.0019444,0.00041667,0,0,0,0.56222,0,0.019722,0.010833,0,0.00027778,0,0.045972,0,0.00027778,0,0,0,0,0.345,0,0.063611,0.00069444,0,0,0,0.56167,0,0.28986,0.011528,0.00013889,0.0016667,0,0.040556,0,0.00069444,0,0,0,0,0.33861,0,0.067917,0.00041667,0.00027778,0.00083333,0,0.55653,0,0.28264,0.0097222,0.0022222,0.0081944,0
0.48161,0,NaN,NaN,NaN,NaN,NaN,0.54326,0,0.1441,0.24187,NaN,NaN,NaN,0.61943,0,0.12548,0.10772,NaN,0.0353,NaN,0.48537,0,0.12485,NaN,NaN,NaN,NaN,0.5545,0,0.18935,0.04222,NaN,NaN,NaN,0.62398,0,0.22542,0.10215,0.0355,0.064792,NaN,0.45975,0,0.15962,NaN,NaN,NaN,NaN,0.55097,0,0.18688,0.049333,0.06975,0.15823,NaN,0.61612,0,0.22295,0.091904,0.048631,0.10859,NaN
0.016254,0,0,0,0,0,0,0.18426,0,0.00028019,0.00010078,0,0,0,0.34826,0,0.0024748,0.001167,0,9.8056e-06,0,0.022314,0,3.4681e-05,0,0,0,0,0.1913,0,0.012045,2.9319e-05,0,0,0,0.35047,0,0.06534,0.0011775,4.9306e-06,0.00010799,0,0.018645,0,0.00011085,0,0,0,0,0.18656,0,0.012692,2.0556e-05,1.9375e-05,0.00013186,0,0.34289,0,0.063016,0.00089351,0.00010807,0.00088981,0
1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22
1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,5,7,13,9,22,1,0,3,7,10,7,17,1,0,3,7,10,7,17,1,0,3,7,10,7,17,1,0,3,7,9,5,16,1,0,3,7,9,5,16,1,0,3,7,9,5,16
