0.00097222,0,0,0,0,0,0,0.026528,0,0,0.00069444,0,0,0,0.098472,0.0022222,0.00069444,0.016806,0.0020833,0,0,0.01375,0,0,0.00013889,0,0,0,0.12944,0.00013889,0,0.0027778,0,0,0,0.23097,0.0027778,0.0027778,0.03125,0.0011111,0,0,0.013333,0,0,0,0,0,0,0.125,0,0,0.0031944,0,0,0,0.23708,0.0020833,0.00875,0.027778,0.0023611,0,0
0.24306,NaN,NaN,NaN,NaN,NaN,NaN,0.25796,NaN,NaN,0.04526,NaN,NaN,NaN,0.27561,0.0771,0.02112,0.10358,0.04766,NaN,NaN,0.56156,NaN,NaN,0.1304,NaN,NaN,NaN,0.5159,0.0466,NaN,0.096715,NaN,NaN,NaN,0.53474,0.07348,0.062945,0.13806,0.044675,NaN,NaN,0.49918,NaN,NaN,NaN,NaN,NaN,NaN,0.54685,NaN,NaN,0.13473,NaN,NaN,NaN,0.53789,0.08128,0.087022,0.1311,0.058135,NaN,NaN
0.00023631,0,0,0,0,0,0,0.0068431,0,0,3.1431e-05,0,0,0,0.02714,0.00017133,1.4667e-05,0.0017408,9.9292e-05,0,0,0.0077215,0,0,1.8111e-05,0,0,0,0.06678,6.4722e-06,0,0.00026865,0,0,0,0.12351,0.00020411,0.00017485,0.0043145,4.9639e-05,0,0,0.0066557,0,0,0,0,0,0,0.068356,0,0,0.0004304,0,0,0,0.12753,0.00016933,0.00076144,0.0036416,0.00013726,0,0
2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28
2,8,12,6,10,20,28,2,8,12,6,10,20,28,2,8,12,6,10,20,28,1,7,9,5,10,17,22,1,7,9,5,10,17,22,1,7,9,5,10,17,22,1,7,8,5,9,16,20,1,7,8,5,9,16,20,1,7,8,5,9,16,20
