0.45583,0.11944,0.44611,0,0.34833,0.53417,0.15111,0.021944,0,0.32472,0,0,0,0.40056,0.40194,0.60722,0.35889,0,0.00055556,0.060833,0.23361,0.00055556,0,0,0.20056,0,0,0,0,0.49528,0.036111,0.635,0,0.013889,0,0,0,0,0.086944,0,0,0.15222,0.36611,0.50167,0.0325,0,0,0
0.5616,0.18114,0.58574,0,0.57384,0.33305,0.26724,0.10322,NaN,0.23229,NaN,NaN,0,0.55563,0.5602,0.642,0.5835,0,0.081,0.201,0.28438,0.04475,NaN,NaN,0.53268,0,0,0,0,0.33507,0.17087,0.671,NaN,0.10186,NaN,NaN,0,0,0.28675,0,0,0.19808,0.58914,0.33748,0.15423,NaN,NaN,NaN
0.256,0.021636,0.2613,0,0.19989,0.1779,0.040382,0.0022651,0,0.075429,0,0,0,0.22256,0.22517,0.38984,0.20941,0,4.5e-05,0.012227,0.066434,2.4861e-05,0,0,0.10683,0,0,0,0,0.16595,0.0061704,0.42608,0,0.0014147,0,0,0,0,0.024931,0,0,0.030152,0.21569,0.1693,0.0050125,0,0,0
1,3,1,0,1,2,2,5,8,3,13,16,0,1,1,1,1,0,6,3,2,7,16,19,1,0,0,0,0,2,3,2,8,5,19,16,0,0,2,0,0,3,1,2,4,11,16,14
1,3,1,0,1,2,2,5,8,3,13,16,0,1,1,1,1,0,5,3,2,7,16,16,1,0,0,0,0,2,3,1,6,5,19,10,0,0,2,0,0,3,1,2,4,7,13,8
