0.014352,0.00083333,0.0063889,0,0,0,0.028519,0.002037,0.015093,0,0,0,0.014352,0.00074074,0.0065741,0,0,0,0.028333,0.0019444,0.014907,0,0,0
0.47797,0.16094,0.22149,NaN,NaN,NaN,0.49521,0.16067,0.25784,NaN,NaN,NaN,0.57119,0.166,0.26922,NaN,NaN,NaN,0.53742,0.2789,0.2692,NaN,NaN,NaN
0.0068597,0.00013412,0.0014151,0,0,0,0.014123,0.00032729,0.0038915,0,0,0,0.0081976,0.00012296,0.0017699,0,0,0,0.015227,0.00054231,0.0040131,0,0,0
1,2,2,5,8,17,1,2,2,5,8,17,1,2,2,5,8,17,1,2,2,5,8,17
1,2,2,5,8,17,1,2,2,5,8,17,1,2,2,5,7,14,1,2,2,5,7,14
