0.0015741,0.019167,0.00018519,0,0,0,0.0040741,0.038611,9.2593e-05,0,0,0,0.0014815,0.019074,0.00074074,0,0,0,0.0043519,0.038704,0.0030556,0,0,0
0.32705,0.53203,0.06835,NaN,NaN,NaN,0.27011,0.50123,0.2088,NaN,NaN,NaN,0.29788,0.48854,0.19703,NaN,NaN,NaN,0.33168,0.52908,0.33499,NaN,NaN,NaN
0.00051481,0.010197,1.2657e-05,0,0,0,0.0011005,0.019353,1.9333e-05,0,0,0,0.0004413,0.0093184,0.00014594,0,0,0,0.0014434,0.020477,0.0010236,0,0,0
2,1,3,14,12,16,2,1,3,14,12,16,2,1,3,14,12,16,2,1,3,14,12,16
2,1,3,14,12,16,2,1,3,14,12,16,2,1,2,12,8,13,2,1,2,12,8,13
