lamT,lamB0.01lamD0omega0,lamB0.01lamD0omega60,lamB0.01lamD1omega0,lamB0.01lamD1omega60,lamB0.1lamD0omega0,lamB0.1lamD0omega60,lamB0.1lamD1omega0,lamB0.1lamD1omega60
0.5,0.000608072035817551,0.00141399672969431,0.00135598257134437,0.00268092637781277,0.0113202025393488,0.0218900947298711,0.0208584173511371,0.0356440956992209
1,2.63524493762434e-06,1.69480497983834e-05,1.58508500619687e-05,7.31769804721794e-05,0.000169870585955537,0.000705851323916902,0.000646406499599286,0.00211886417222153
2,2.53247671442813e-11,1.24711660902748e-09,1.10866265604405e-09,2.81973594093576e-08,3.0040631065164e-08,5.38175584324359e-07,4.52785100960439e-07,5.14964421655751e-06
3,2.29519593543285e-16,6.9998092475265e-14,5.91798303954581e-14,8.24821108314944e-12,5.20987453743037e-12,3.95668132667657e-10,3.05394895006916e-10,1.17652495700483e-08
4,1.40526971928276e-21,4.19887623327352e-18,3.3864346674537e-18,2.20834256026898e-15,9.03170380622594e-16,2.90496835244456e-13,2.05677365225733e-13,2.67698791900856e-11
5,8.60398431979887e-27,1.9007121105486e-22,1.45270816259197e-22,6.3360021213595e-19,1.56571282201412e-19,2.13268520812793e-16,1.38510636604517e-16,6.0893266436394e-14
