lamT,lamB0.01lamD0omega0,lamB0.01lamD0omega60,lamB0.01lamD1omega0,lamB0.01lamD1omega60,lamB0.1lamD0omega0,lamB0.1lamD0omega60,lamB0.1lamD1omega0,lamB0.1lamD1omega60
0.5,0.002474400307832,0.00672808755083994,0.00654964615253679,0.0151419403640257,0.0131665262951642,0.0270952196291239,0.0259506543143429,0.0476932510086995
1,6.12265688339911e-06,4.52671620917674e-05,4.289786472344e-05,0.000229278357987711,0.000173357414681249,0.000734150926750459,0.000673436459342524,0.00227464619177881
2,3.74869273118345e-11,2.04911596384234e-09,1.84022679783056e-09,5.25685654415408e-08,3.00527932249665e-08,5.38977583248558e-07,4.53516664771795e-07,5.17401529777385e-06
3,2.29519593543285e-16,9.27576644800791e-14,7.89418002337847e-14,1.2052834366206e-11,5.20987453743037e-12,3.95690892239653e-10,3.05414656976748e-10,1.17690541932866e-08
4,1.40526971928276e-21,4.19887623327352e-18,3.3864346674537e-18,2.76345407258156e-15,9.03170380622594e-16,2.90496835244456e-13,2.05677365225733e-13,2.67704343015979e-11
5,8.60398431979887e-27,1.9007121105486e-22,1.45270816259197e-22,6.3360021213595e-19,1.56571282201412e-19,2.13268520812793e-16,1.38510636604517e-16,6.0893266436394e-14
